時間,設備,值
2024-10-26 09:47:24,SA-37/LED_LEVEL,1
2024-10-26 09:47:25,SA-37/LED_LEVEL,3
2024-10-26 09:47:25,SA-37/LED_LEVEL,4
2024-10-26 09:47:26,SA-37/LED_LEVEL,5
2024-10-26 09:47:26,SA-37/LED_LEVEL,6
2024-10-26 09:47:27,SA-37/LED_LEVEL,7
2024-10-26 09:48:04,SA-37/LED_LEVEL,7
2024-10-26 09:48:07,SA-37/LED_LEVEL,9
2024-10-26 09:48:08,SA-37/LED_LEVEL,10
2024-10-26 09:48:09,SA-37/LED_LEVEL,8
2024-10-26 09:48:10,SA-37/LED_LEVEL,7
2024-10-26 09:48:11,SA-37/LED_LEVEL,6
2024-10-26 09:48:25,SA-37/LED_LEVEL,7
2024-10-26 09:48:26,SA-37/LED_LEVEL,8
2024-10-26 09:48:26,SA-37/LED_LEVEL,9
2024-10-26 09:48:27,SA-37/LED_LEVEL,5
2024-10-26 09:48:28,SA-37/LED_LEVEL,6
2024-10-26 09:48:28,SA-37/LED_LEVEL,7
2024-10-26 09:48:29,SA-37/LED_LEVEL,5
2024-10-26 09:48:30,SA-37/LED_LEVEL,3
2024-10-26 09:48:30,SA-37/LED_LEVEL,2
2024-10-26 09:48:31,SA-37/LED_LEVEL,1
2024-10-26 09:48:31,SA-37/LED_LEVEL,0
2024-10-26 09:48:34,SA-37/LED_LEVEL,1
2024-10-26 09:48:35,SA-37/LED_LEVEL,2
2024-10-26 15:42:31,SA-37/LED_LEVEL,4
2024-10-26 15:42:31,SA-37/TEMPERATURE,28.92
2024-10-26 15:42:31,SA-37/LINE_LEVEL,0
2024-10-26 15:42:39,SA-37/TEMPERATURE,28.45
2024-10-26 15:42:41,SA-37/TEMPERATURE,28.92
2024-10-26 15:42:43,SA-37/TEMPERATURE,28.45
2024-10-26 15:42:45,SA-37/TEMPERATURE,28.92
2024-10-26 15:42:47,SA-37/TEMPERATURE,28.45
2024-10-26 15:42:51,SA-37/TEMPERATURE,28.92
2024-10-26 15:42:51,SA-37/LED_LEVEL,3
2024-10-26 15:42:52,SA-37/LED_LEVEL,2
2024-10-26 15:42:53,SA-37/LED_LEVEL,3
2024-10-26 15:42:55,SA-37/TEMPERATURE,28.45
2024-10-26 15:42:57,SA-37/TEMPERATURE,28.92
2024-10-26 15:43:07,SA-37/TEMPERATURE,28.45
2024-10-26 15:43:09,SA-37/TEMPERATURE,28.92
2024-10-26 15:43:59,SA-37/TEMPERATURE,28.45
2024-10-26 15:44:01,SA-37/TEMPERATURE,28.92
2024-10-26 15:44:05,SA-37/TEMPERATURE,28.45
2024-10-26 15:44:17,SA-37/TEMPERATURE,28.92
2024-10-26 15:44:19,SA-37/TEMPERATURE,28.45
2024-10-26 15:45:07,SA-37/TEMPERATURE,27.98
2024-10-26 15:45:09,SA-37/TEMPERATURE,28.45
2024-10-26 15:45:15,SA-37/TEMPERATURE,27.98
2024-10-26 15:45:17,SA-37/TEMPERATURE,28.45
2024-10-26 15:45:19,SA-37/TEMPERATURE,27.98
2024-10-26 15:45:21,SA-37/TEMPERATURE,28.45
2024-10-26 15:45:29,SA-37/TEMPERATURE,27.98
2024-10-26 15:45:31,SA-37/TEMPERATURE,28.45
2024-10-26 15:45:33,SA-37/TEMPERATURE,27.98
2024-10-26 15:45:37,SA-37/TEMPERATURE,28.45
2024-10-26 15:45:39,SA-37/TEMPERATURE,27.98
2024-10-26 15:45:41,SA-37/TEMPERATURE,28.45
2024-10-26 15:45:43,SA-37/TEMPERATURE,27.98
2024-10-26 15:46:27,SA-37/TEMPERATURE,27.51
2024-10-26 15:46:29,SA-37/TEMPERATURE,27.98
2024-10-26 15:46:43,SA-37/TEMPERATURE,27.51
2024-10-26 15:46:45,SA-37/TEMPERATURE,27.98
2024-10-26 15:46:47,SA-37/TEMPERATURE,27.51
2024-10-26 15:46:53,SA-37/TEMPERATURE,27.98
2024-10-26 15:46:57,SA-37/TEMPERATURE,27.51
2024-10-26 15:47:01,SA-37/TEMPERATURE,27.98
2024-10-26 15:47:05,SA-37/TEMPERATURE,27.51
2024-10-26 15:47:07,SA-37/TEMPERATURE,27.98
2024-10-26 15:47:09,SA-37/TEMPERATURE,27.51
2024-10-26 15:47:21,SA-37/TEMPERATURE,27.98
2024-10-26 15:47:27,SA-37/TEMPERATURE,27.51
2024-10-26 15:47:33,SA-37/TEMPERATURE,27.98
2024-10-26 15:47:36,SA-37/TEMPERATURE,27.51
2024-10-26 15:47:45,SA-37/TEMPERATURE,27.98
2024-10-26 15:47:47,SA-37/TEMPERATURE,27.51
2024-10-26 15:47:51,SA-37/TEMPERATURE,27.98
2024-10-26 15:47:53,SA-37/TEMPERATURE,27.51
2024-10-26 15:48:05,SA-37/TEMPERATURE,27.98
2024-10-26 15:48:07,SA-37/TEMPERATURE,27.51
2024-10-26 15:48:15,SA-37/TEMPERATURE,27.98
2024-10-26 15:48:17,SA-37/TEMPERATURE,27.51
2024-10-26 15:48:35,SA-37/TEMPERATURE,27.98
2024-10-26 15:48:37,SA-37/TEMPERATURE,27.51
2024-10-26 15:48:45,SA-37/TEMPERATURE,27.98
2024-10-26 15:48:47,SA-37/TEMPERATURE,27.51
2024-10-26 15:48:49,SA-37/TEMPERATURE,27.98
2024-10-26 15:48:51,SA-37/TEMPERATURE,27.51
2024-10-26 15:49:07,SA-37/TEMPERATURE,27.98
2024-10-26 15:49:09,SA-37/TEMPERATURE,27.51
2024-10-26 15:49:11,SA-37/TEMPERATURE,27.98
2024-10-26 15:49:13,SA-37/TEMPERATURE,27.51
2024-10-26 15:49:19,SA-37/TEMPERATURE,27.98
2024-10-26 15:49:23,SA-37/TEMPERATURE,27.51
2024-10-26 15:49:25,SA-37/TEMPERATURE,27.98
2024-10-26 15:49:27,SA-37/TEMPERATURE,27.51
2024-10-26 15:49:29,SA-37/TEMPERATURE,27.98
2024-10-26 15:50:09,SA-37/TEMPERATURE,28.45
2024-10-26 15:50:11,SA-37/TEMPERATURE,27.98
2024-10-26 15:50:15,SA-37/TEMPERATURE,28.45
2024-10-26 15:50:17,SA-37/TEMPERATURE,27.98
2024-10-26 15:50:23,SA-37/TEMPERATURE,28.45
2024-10-26 15:50:25,SA-37/TEMPERATURE,27.98
2024-10-26 15:50:31,SA-37/TEMPERATURE,28.45
2024-10-26 15:50:37,SA-37/TEMPERATURE,27.98
2024-10-26 15:50:39,SA-37/TEMPERATURE,28.45
2024-10-26 15:51:51,SA-37/TEMPERATURE,28.92
2024-10-26 15:51:53,SA-37/TEMPERATURE,28.45
2024-10-26 15:52:05,SA-37/TEMPERATURE,28.92
2024-10-26 15:52:07,SA-37/TEMPERATURE,28.45
2024-10-26 15:52:13,SA-37/TEMPERATURE,28.92
2024-10-26 15:52:16,SA-37/TEMPERATURE,28.45
2024-10-26 15:52:19,SA-37/TEMPERATURE,28.92
2024-10-26 15:52:21,SA-37/TEMPERATURE,28.45
2024-10-26 15:52:33,SA-37/TEMPERATURE,28.92
2024-10-26 15:52:35,SA-37/TEMPERATURE,28.45
2024-10-26 15:52:41,SA-37/TEMPERATURE,28.92
2024-10-26 15:52:47,SA-37/TEMPERATURE,28.45
2024-10-26 15:52:49,SA-37/TEMPERATURE,28.92
2024-10-26 15:53:47,SA-37/TEMPERATURE,28.45
2024-10-26 15:53:49,SA-37/TEMPERATURE,28.92
2024-10-26 15:53:53,SA-37/TEMPERATURE,28.45
2024-10-26 15:53:57,SA-37/TEMPERATURE,28.92
2024-10-26 15:53:59,SA-37/TEMPERATURE,28.45
2024-10-26 15:54:01,SA-37/TEMPERATURE,28.92
2024-10-26 15:54:03,SA-37/TEMPERATURE,28.45
2024-10-26 15:54:09,SA-37/TEMPERATURE,28.92
2024-10-26 15:54:11,SA-37/TEMPERATURE,28.45
2024-10-26 15:54:51,SA-37/TEMPERATURE,27.98
2024-10-26 15:54:53,SA-37/TEMPERATURE,28.45
2024-10-26 15:54:59,SA-37/TEMPERATURE,27.98
2024-10-26 15:55:11,SA-37/TEMPERATURE,28.45
2024-10-26 15:55:13,SA-37/TEMPERATURE,27.98
2024-10-26 15:56:11,SA-37/TEMPERATURE,27.51
2024-10-26 15:56:15,SA-37/TEMPERATURE,27.98
2024-10-26 15:56:23,SA-37/TEMPERATURE,27.51
2024-10-26 15:56:25,SA-37/TEMPERATURE,27.98
2024-10-26 15:56:41,SA-37/TEMPERATURE,27.51
2024-10-26 15:56:57,SA-37/TEMPERATURE,27.98
2024-10-26 15:56:59,SA-37/TEMPERATURE,27.51
2024-10-26 15:57:05,SA-37/TEMPERATURE,27.98
2024-10-26 15:57:09,SA-37/TEMPERATURE,27.51
2024-10-26 15:57:12,SA-37/TEMPERATURE,27.98
2024-10-26 15:57:15,SA-37/TEMPERATURE,27.51
2024-10-26 15:57:21,SA-37/TEMPERATURE,27.98
2024-10-26 15:57:23,SA-37/TEMPERATURE,27.51
2024-10-26 15:57:25,SA-37/TEMPERATURE,27.98
2024-10-26 15:57:35,SA-37/TEMPERATURE,27.51
