時間,設備,值
2024-10-19 09:52:26,SA-37/LED_LEVEL,6
2024-10-19 12:00:22,SA-01/LED_LEVEL,4
2024-10-19 12:19:57,SA-01/LED_LEVEL,4
2024-10-19 12:21:45,SA-01/LED_LEVEL,4
2024-10-19 12:25:36,SA-01/LED_LEVEL,4
2024-10-19 13:23:03,SA-37/LED_LEVEL,9
2024-10-19 13:23:08,SA-37/LED_LEVEL,10
2024-10-19 13:23:09,SA-37/LED_LEVEL,9
2024-10-19 13:23:10,SA-37/LED_LEVEL,8
2024-10-19 13:23:11,SA-37/LED_LEVEL,10
2024-10-19 13:33:43,SA-37/LED_LEVEL,5
2024-10-19 13:33:46,SA-37/LED_LEVEL,10
2024-10-19 13:33:48,SA-37/LED_LEVEL,8
2024-10-19 13:33:48,SA-37/LED_LEVEL,10
2024-10-19 13:33:52,SA-37/LED_LEVEL,4
2024-10-19 13:33:53,SA-37/LED_LEVEL,5
2024-10-19 13:33:53,SA-37/LED_LEVEL,4
2024-10-19 13:33:55,SA-37/LED_LEVEL,10
2024-10-19 13:33:55,SA-37/LED_LEVEL,5
2024-10-19 13:33:58,SA-37/LED_LEVEL,6
2024-10-19 13:33:59,SA-37/LED_LEVEL,7
2024-10-19 13:34:03,SA-37/LED_LEVEL,8
2024-10-19 13:34:03,SA-37/LED_LEVEL,7
2024-10-19 13:35:23,SA-37/LED_LEVEL,6
2024-10-19 13:35:24,SA-37/LED_LEVEL,5
2024-10-19 13:35:27,SA-37/LED_LEVEL,6
2024-10-19 13:35:28,SA-37/LED_LEVEL,5
2024-10-19 13:35:56,SA-37/LED_LEVEL,6
2024-10-19 13:35:59,SA-37/LED_LEVEL,5
2024-10-19 13:36:41,SA-37/LED_LEVEL,6
2024-10-19 13:36:41,SA-37/LED_LEVEL,5
2024-10-19 13:36:43,SA-37/LED_LEVEL,6
2024-10-19 13:36:43,SA-37/LED_LEVEL,5
2024-10-19 13:36:48,SA-37/LED_LEVEL,2
2024-10-19 13:36:48,SA-37/LED_LEVEL,1
2024-10-19 13:36:50,SA-37/LED_LEVEL,2
2024-10-19 13:36:50,SA-37/LED_LEVEL,5
2024-10-19 13:36:53,SA-37/LED_LEVEL,6
2024-10-19 13:36:54,SA-37/LED_LEVEL,7
2024-10-19 13:36:54,SA-37/LED_LEVEL,6
2024-10-19 13:36:55,SA-37/LED_LEVEL,3
2024-10-19 13:36:55,SA-37/LED_LEVEL,1
2024-10-19 13:36:57,SA-37/LED_LEVEL,2
2024-10-19 13:36:58,SA-37/LED_LEVEL,4
2024-10-19 13:36:58,SA-37/LED_LEVEL,5
2024-10-19 13:37:08,SA-37/LED_LEVEL,6
2024-10-19 13:37:08,SA-37/LED_LEVEL,7
2024-10-19 13:37:09,SA-37/LED_LEVEL,9
2024-10-19 13:37:09,SA-37/LED_LEVEL,10
2024-10-19 13:37:10,SA-37/LED_LEVEL,9
2024-10-19 13:37:11,SA-37/LED_LEVEL,7
2024-10-19 13:37:12,SA-37/LED_LEVEL,6
2024-10-19 13:45:39,SA-37/LED_LEVEL,7
2024-10-19 13:58:41,SA-37/LED_LEVEL,7
2024-10-19 13:58:49,SA-37/LED_LEVEL,6
