時間,設備,值
2024-10-19 13:59:01,SA-37/LED_LEVEL,7
2024-10-19 13:59:21,SA-37/LED_LEVEL,6
2024-10-19 14:00:51,SA-37/LED_LEVEL,7
2024-10-19 14:18:30,SA-37/LED_LEVEL,7
2024-10-19 14:20:05,SA-37/LED_LEVEL,7
2024-10-19 14:20:06,SA-37/TEMPERATURE,28.92
2024-10-19 14:20:08,SA-37/TEMPERATURE,28.45
2024-10-19 14:20:10,SA-37/TEMPERATURE,28.92
2024-10-19 14:20:12,SA-37/TEMPERATURE,28.45
2024-10-19 14:20:16,SA-37/TEMPERATURE,28.92
2024-10-19 14:20:18,SA-37/TEMPERATURE,28.45
2024-10-19 14:20:22,SA-37/TEMPERATURE,28.92
2024-10-19 14:20:32,SA-37/TEMPERATURE,28.45
2024-10-19 14:20:34,SA-37/TEMPERATURE,28.92
2024-10-19 14:20:35,SA-37/LED_LEVEL,5
2024-10-19 14:20:35,SA-37/LED_LEVEL,4
2024-10-19 14:20:36,SA-37/TEMPERATURE,28.45
2024-10-19 14:20:36,SA-37/LED_LEVEL,3
2024-10-19 14:20:36,SA-37/LED_LEVEL,3
2024-10-19 14:20:37,SA-37/LED_LEVEL,6
2024-10-19 14:20:37,SA-37/LED_LEVEL,8
2024-10-19 14:20:38,SA-37/LED_LEVEL,9
2024-10-19 14:20:40,SA-37/TEMPERATURE,28.92
2024-10-19 14:20:52,SA-37/TEMPERATURE,28.45
2024-10-19 14:20:54,SA-37/TEMPERATURE,28.92
2024-10-19 14:20:56,SA-37/TEMPERATURE,28.45
2024-10-19 14:20:58,SA-37/TEMPERATURE,28.92
2024-10-19 14:21:02,SA-37/TEMPERATURE,28.45
2024-10-19 14:21:10,SA-37/TEMPERATURE,28.92
2024-10-19 14:21:24,SA-37/TEMPERATURE,28.45
2024-10-19 14:21:26,SA-37/TEMPERATURE,28.92
2024-10-19 14:21:38,SA-37/TEMPERATURE,28.45
2024-10-19 14:21:40,SA-37/TEMPERATURE,28.92
2024-10-19 14:21:50,SA-37/TEMPERATURE,28.45
2024-10-19 14:21:52,SA-37/TEMPERATURE,28.92
2024-10-19 14:21:58,SA-37/TEMPERATURE,28.45
2024-10-19 14:22:00,SA-37/TEMPERATURE,28.92
2024-10-19 14:22:12,SA-37/TEMPERATURE,28.45
2024-10-19 14:22:30,SA-37/TEMPERATURE,28.92
2024-10-19 14:22:34,SA-37/TEMPERATURE,28.45
2024-10-19 14:22:38,SA-37/TEMPERATURE,28.92
2024-10-19 14:22:51,SA-37/LED_LEVEL,9
2024-10-19 14:22:52,SA-37/TEMPERATURE,28.45
2024-10-19 14:22:54,SA-37/TEMPERATURE,28.92
2024-10-19 14:22:56,SA-37/TEMPERATURE,28.45
2024-10-19 14:22:58,SA-37/TEMPERATURE,28.92
2024-10-19 14:23:04,SA-37/TEMPERATURE,28.45
2024-10-19 14:23:06,SA-37/TEMPERATURE,28.92
2024-10-19 14:23:08,SA-37/TEMPERATURE,28.45
2024-10-19 14:23:10,SA-37/TEMPERATURE,28.92
2024-10-19 14:23:14,SA-37/TEMPERATURE,28.45
2024-10-19 14:23:18,SA-37/TEMPERATURE,28.92
2024-10-19 14:23:31,SA-37/LED_LEVEL,7
2024-10-19 14:23:31,SA-37/LED_LEVEL,6
2024-10-19 14:23:32,SA-37/TEMPERATURE,28.45
2024-10-19 14:23:32,SA-37/LED_LEVEL,5
2024-10-19 14:23:32,SA-37/LED_LEVEL,5
2024-10-19 14:23:33,SA-37/LED_LEVEL,4
2024-10-19 14:23:33,SA-37/LED_LEVEL,4
2024-10-19 14:23:34,SA-37/LED_LEVEL,3
2024-10-19 14:23:34,SA-37/LED_LEVEL,3
2024-10-19 14:23:35,SA-37/LED_LEVEL,4
2024-10-19 14:23:37,SA-37/LED_LEVEL,5
2024-10-19 14:23:58,SA-37/TEMPERATURE,28.92
2024-10-19 14:24:00,SA-37/TEMPERATURE,28.45
2024-10-19 14:24:16,SA-37/TEMPERATURE,27.98
2024-10-19 14:24:18,SA-37/TEMPERATURE,28.45
2024-10-19 14:24:18,SA-37/LED_LEVEL,6
2024-10-19 14:24:18,SA-37/LED_LEVEL,6
2024-10-19 14:24:24,SA-37/TEMPERATURE,28.92
2024-10-19 14:24:28,SA-37/TEMPERATURE,28.45
2024-10-19 14:24:40,SA-37/TEMPERATURE,28.92
2024-10-19 14:24:42,SA-37/TEMPERATURE,28.45
2024-10-19 14:24:54,SA-37/TEMPERATURE,28.92
2024-10-19 14:24:58,SA-37/TEMPERATURE,28.45
2024-10-19 14:25:00,SA-37/TEMPERATURE,28.92
2024-10-19 14:25:02,SA-37/TEMPERATURE,28.45
2024-10-19 14:25:12,SA-37/TEMPERATURE,28.92
2024-10-19 14:25:14,SA-37/TEMPERATURE,28.45
2024-10-19 14:25:24,SA-37/TEMPERATURE,28.92
2024-10-19 14:25:32,SA-37/TEMPERATURE,28.45
2024-10-19 14:25:34,SA-37/TEMPERATURE,28.92
2024-10-19 14:25:40,SA-37/TEMPERATURE,28.45
2024-10-19 14:25:42,SA-37/TEMPERATURE,28.92
2024-10-19 14:25:46,SA-37/TEMPERATURE,28.45
2024-10-19 14:25:48,SA-37/TEMPERATURE,28.92
2024-10-19 14:25:52,SA-37/TEMPERATURE,28.45
2024-10-19 14:25:58,SA-37/TEMPERATURE,28.92
2024-10-19 14:26:00,SA-37/TEMPERATURE,28.45
2024-10-19 14:26:02,SA-37/TEMPERATURE,28.92
2024-10-19 14:26:06,SA-37/TEMPERATURE,28.45
2024-10-19 14:26:08,SA-37/TEMPERATURE,28.92
2024-10-19 14:26:10,SA-37/TEMPERATURE,28.45
2024-10-19 14:26:12,SA-37/TEMPERATURE,28.92
2024-10-19 14:26:16,SA-37/TEMPERATURE,28.45
2024-10-19 14:26:18,SA-37/TEMPERATURE,28.92
2024-10-19 14:26:20,SA-37/TEMPERATURE,28.45
2024-10-19 14:26:24,SA-37/TEMPERATURE,28.92
2024-10-19 14:26:26,SA-37/TEMPERATURE,28.45
2024-10-19 14:26:29,SA-37/TEMPERATURE,28.92
2024-10-19 14:26:32,SA-37/TEMPERATURE,28.45
2024-10-19 14:26:40,SA-37/TEMPERATURE,28.92
2024-10-19 14:26:46,SA-37/TEMPERATURE,28.45
2024-10-19 14:26:50,SA-37/TEMPERATURE,28.92
2024-10-19 14:26:52,SA-37/TEMPERATURE,28.45
2024-10-19 14:26:58,SA-37/TEMPERATURE,28.92
2024-10-19 14:27:08,SA-37/TEMPERATURE,28.45
2024-10-19 14:27:10,SA-37/TEMPERATURE,28.92
2024-10-19 14:27:20,SA-37/TEMPERATURE,28.45
2024-10-19 14:27:24,SA-37/TEMPERATURE,28.92
2024-10-19 14:27:28,SA-37/TEMPERATURE,28.45
2024-10-19 14:27:32,SA-37/TEMPERATURE,28.92
2024-10-19 14:27:36,SA-37/TEMPERATURE,28.45
2024-10-19 14:27:38,SA-37/TEMPERATURE,28.92
2024-10-19 14:27:46,SA-37/TEMPERATURE,28.45
2024-10-19 14:27:48,SA-37/TEMPERATURE,28.92
2024-10-19 14:27:58,SA-37/TEMPERATURE,28.45
2024-10-19 14:28:00,SA-37/TEMPERATURE,28.92
2024-10-19 14:28:10,SA-37/TEMPERATURE,28.45
2024-10-19 14:28:12,SA-37/TEMPERATURE,28.92
2024-10-19 14:28:20,SA-37/TEMPERATURE,28.45
2024-10-19 14:28:22,SA-37/TEMPERATURE,28.92
2024-10-19 14:28:26,SA-37/TEMPERATURE,28.45
2024-10-19 14:28:28,SA-37/TEMPERATURE,28.92
2024-10-19 14:28:30,SA-37/TEMPERATURE,28.45
2024-10-19 14:28:32,SA-37/TEMPERATURE,28.92
2024-10-19 14:28:34,SA-37/TEMPERATURE,28.45
2024-10-19 14:28:36,SA-37/TEMPERATURE,28.92
2024-10-19 14:28:44,SA-37/TEMPERATURE,28.45
2024-10-19 14:28:50,SA-37/TEMPERATURE,28.92
2024-10-19 14:28:52,SA-37/LED_LEVEL,5
2024-10-19 14:28:52,SA-37/LED_LEVEL,5
2024-10-19 14:28:52,SA-37/LED_LEVEL,6
2024-10-19 14:28:52,SA-37/LED_LEVEL,6
2024-10-19 14:29:06,SA-37/TEMPERATURE,28.45
2024-10-19 14:29:08,SA-37/TEMPERATURE,28.92
2024-10-19 14:29:20,SA-37/TEMPERATURE,28.45
2024-10-19 14:29:22,SA-37/TEMPERATURE,28.92
2024-10-19 14:29:24,SA-37/TEMPERATURE,28.45
2024-10-19 14:29:28,SA-37/TEMPERATURE,28.92
2024-10-19 14:29:30,SA-37/TEMPERATURE,28.45
2024-10-19 14:29:34,SA-37/TEMPERATURE,28.92
2024-10-19 14:29:36,SA-37/TEMPERATURE,28.45
2024-10-19 14:29:40,SA-37/TEMPERATURE,28.92
2024-10-19 14:30:02,SA-37/TEMPERATURE,28.45
2024-10-19 14:30:10,SA-37/TEMPERATURE,28.92
2024-10-19 14:30:12,SA-37/TEMPERATURE,28.45
2024-10-19 14:30:14,SA-37/TEMPERATURE,28.92
2024-10-19 14:30:24,SA-37/TEMPERATURE,28.45
2024-10-19 14:30:26,SA-37/TEMPERATURE,28.92
2024-10-19 14:30:30,SA-37/TEMPERATURE,28.45
2024-10-19 14:30:36,SA-37/TEMPERATURE,28.92
2024-10-19 14:30:51,SA-37/TEMPERATURE,28.45
2024-10-19 14:30:51,SA-37/LED_LEVEL,5
2024-10-19 14:30:51,SA-37/LED_LEVEL,5
2024-10-19 14:30:52,SA-37/LED_LEVEL,6
2024-10-19 14:30:55,SA-37/TEMPERATURE,28.92
2024-10-19 14:30:59,SA-37/TEMPERATURE,28.45
2024-10-19 14:31:01,SA-37/TEMPERATURE,28.92
2024-10-19 14:31:03,SA-37/TEMPERATURE,28.45
2024-10-19 14:31:05,SA-37/TEMPERATURE,28.92
2024-10-19 14:31:09,SA-37/TEMPERATURE,28.45
2024-10-19 14:31:11,SA-37/TEMPERATURE,28.92
2024-10-19 14:31:29,SA-37/TEMPERATURE,28.45
2024-10-19 14:31:31,SA-37/TEMPERATURE,28.92
2024-10-19 14:31:47,SA-37/TEMPERATURE,28.45
2024-10-19 14:31:50,SA-37/LED_LEVEL,5
2024-10-19 14:31:51,SA-37/LED_LEVEL,6
2024-10-19 14:31:53,SA-37/TEMPERATURE,28.92
2024-10-19 14:31:54,SA-37/LED_LEVEL,5
2024-10-19 14:31:54,SA-37/LED_LEVEL,6
2024-10-19 14:31:54,SA-37/LED_LEVEL,6
2024-10-19 14:31:59,SA-37/LED_LEVEL,5
2024-10-19 14:31:59,SA-37/LED_LEVEL,6
2024-10-19 14:32:01,SA-37/LED_LEVEL,5
2024-10-19 14:32:01,SA-37/LED_LEVEL,5
2024-10-19 14:32:02,SA-37/LED_LEVEL,6
2024-10-19 14:32:08,SA-37/LED_LEVEL,5
2024-10-19 14:32:08,SA-37/LED_LEVEL,5
2024-10-19 14:32:08,SA-37/LED_LEVEL,6
2024-10-19 14:32:29,SA-37/TEMPERATURE,28.45
2024-10-19 14:32:31,SA-37/TEMPERATURE,28.92
2024-10-19 14:32:45,SA-37/TEMPERATURE,28.45
2024-10-19 14:32:51,SA-37/TEMPERATURE,28.92
2024-10-19 14:32:59,SA-37/TEMPERATURE,28.45
2024-10-19 14:33:01,SA-37/TEMPERATURE,28.92
2024-10-19 14:35:21,SA-37/TEMPERATURE,28.45
2024-10-19 14:35:23,SA-37/TEMPERATURE,28.92
2024-10-19 14:35:27,SA-37/TEMPERATURE,28.45
2024-10-19 14:35:29,SA-37/TEMPERATURE,28.92
2024-10-19 14:35:30,SA-37/LED_LEVEL,5
2024-10-19 14:35:31,SA-37/LED_LEVEL,6
2024-10-19 14:35:31,SA-37/TEMPERATURE,28.45
2024-10-19 14:35:33,SA-37/TEMPERATURE,28.92
2024-10-19 14:35:36,SA-37/LED_LEVEL,5
2024-10-19 14:35:36,SA-37/LED_LEVEL,6
2024-10-19 14:35:37,SA-37/LED_LEVEL,5
2024-10-19 14:35:38,SA-37/LED_LEVEL,6
2024-10-19 14:35:41,SA-37/LED_LEVEL,5
2024-10-19 14:35:41,SA-37/LED_LEVEL,5
2024-10-19 14:35:41,SA-37/LED_LEVEL,6
2024-10-19 14:35:41,SA-37/LED_LEVEL,6
2024-10-19 14:35:42,SA-37/LED_LEVEL,5
2024-10-19 14:35:42,SA-37/LED_LEVEL,6
2024-10-19 14:35:43,SA-37/LED_LEVEL,5
2024-10-19 14:35:44,SA-37/LED_LEVEL,6
2024-10-19 14:35:45,SA-37/LED_LEVEL,5
2024-10-19 14:35:46,SA-37/LED_LEVEL,6
2024-10-19 14:35:50,SA-37/LED_LEVEL,5
2024-10-19 14:35:51,SA-37/TEMPERATURE,28.45
2024-10-19 14:35:51,SA-37/LED_LEVEL,6
2024-10-19 14:35:53,SA-37/LED_LEVEL,5
2024-10-19 14:35:53,SA-37/TEMPERATURE,28.92
2024-10-19 14:35:53,SA-37/LED_LEVEL,6
2024-10-19 14:35:56,SA-37/LED_LEVEL,5
2024-10-19 14:35:56,SA-37/LED_LEVEL,5
2024-10-19 14:35:56,SA-37/LED_LEVEL,6
2024-10-19 14:35:56,SA-37/LED_LEVEL,6
2024-10-19 14:35:57,SA-37/LED_LEVEL,5
2024-10-19 14:35:57,SA-37/LED_LEVEL,6
2024-10-19 14:35:57,SA-37/LED_LEVEL,6
2024-10-19 14:36:03,SA-37/LED_LEVEL,5
2024-10-19 14:36:03,SA-37/LED_LEVEL,5
2024-10-19 14:36:04,SA-37/LED_LEVEL,6
2024-10-19 14:36:04,SA-37/LED_LEVEL,6
2024-10-19 14:36:07,SA-37/LED_LEVEL,5
2024-10-19 14:36:15,SA-37/TEMPERATURE,28.45
2024-10-19 14:36:16,SA-37/LED_LEVEL,6
2024-10-19 14:36:16,SA-37/LED_LEVEL,5
2024-10-19 14:36:16,SA-37/LED_LEVEL,5
2024-10-19 14:36:17,SA-37/LED_LEVEL,4
2024-10-19 14:36:17,SA-37/TEMPERATURE,28.92
2024-10-19 14:36:27,SA-37/TEMPERATURE,28.45
2024-10-19 14:36:29,SA-37/TEMPERATURE,28.92
2024-10-19 14:36:30,SA-37/LED_LEVEL,5
2024-10-19 14:36:31,SA-37/LED_LEVEL,4
2024-10-19 14:36:32,SA-37/LED_LEVEL,5
2024-10-19 14:36:33,SA-37/LED_LEVEL,4
2024-10-19 14:36:33,SA-37/LED_LEVEL,4
2024-10-19 14:36:33,SA-37/LED_LEVEL,5
2024-10-19 14:36:33,SA-37/LED_LEVEL,5
2024-10-19 14:36:37,SA-37/LED_LEVEL,4
2024-10-19 14:36:37,SA-37/LED_LEVEL,4
2024-10-19 14:36:38,SA-37/LED_LEVEL,5
2024-10-19 14:36:39,SA-37/LED_LEVEL,4
2024-10-19 14:36:39,SA-37/LED_LEVEL,5
2024-10-19 14:36:39,SA-37/LED_LEVEL,5
2024-10-19 14:36:41,SA-37/LED_LEVEL,4
2024-10-19 14:36:42,SA-37/LED_LEVEL,5
2024-10-19 14:36:45,SA-37/LED_LEVEL,4
2024-10-19 14:36:45,SA-37/TEMPERATURE,29.39
2024-10-19 14:36:47,SA-37/TEMPERATURE,28.92
2024-10-19 14:36:47,SA-37/LED_LEVEL,5
2024-10-19 14:36:47,SA-37/LED_LEVEL,5
2024-10-19 14:36:53,SA-37/LED_LEVEL,4
2024-10-19 14:36:54,SA-37/LED_LEVEL,5
2024-10-19 14:37:33,SA-37/TEMPERATURE,28.45
2024-10-19 14:37:35,SA-37/TEMPERATURE,28.92
2024-10-19 14:38:17,SA-37/TEMPERATURE,28.45
2024-10-19 14:38:19,SA-37/TEMPERATURE,28.92
2024-10-19 14:38:27,SA-37/TEMPERATURE,28.45
2024-10-19 14:38:31,SA-37/TEMPERATURE,28.92
2024-10-19 14:38:36,SA-37/LED_LEVEL,4
2024-10-19 14:38:36,SA-37/LED_LEVEL,4
2024-10-19 14:38:36,SA-37/TEMPERATURE,28.45
2024-10-19 14:38:37,SA-37/TEMPERATURE,28.92
2024-10-19 14:38:45,SA-37/TEMPERATURE,28.45
2024-10-19 14:38:47,SA-37/TEMPERATURE,28.92
2024-10-19 14:39:25,SA-37/TEMPERATURE,28.45
2024-10-19 14:39:29,SA-37/TEMPERATURE,28.92
2024-10-19 14:40:51,SA-37/TEMPERATURE,28.45
2024-10-19 14:40:53,SA-37/TEMPERATURE,28.92
2024-10-19 14:41:07,SA-37/TEMPERATURE,28.45
2024-10-19 14:41:09,SA-37/TEMPERATURE,28.92
2024-10-19 14:41:53,SA-37/TEMPERATURE,28.45
2024-10-19 14:41:55,SA-37/TEMPERATURE,28.92
2024-10-19 14:42:21,SA-37/TEMPERATURE,28.45
2024-10-19 14:42:23,SA-37/TEMPERATURE,28.92
2024-10-19 14:44:04,SA-37/TEMPERATURE,29.39
2024-10-19 14:44:06,SA-37/TEMPERATURE,28.92
2024-10-19 14:44:22,SA-37/LED_LEVEL,5
2024-10-19 14:44:23,SA-37/LED_LEVEL,4
2024-10-19 14:44:24,SA-37/LED_LEVEL,5
2024-10-19 14:44:33,SA-37/LED_LEVEL,4
2024-10-19 14:44:34,SA-37/LED_LEVEL,5
2024-10-19 14:44:35,SA-37/LED_LEVEL,4
2024-10-19 14:44:35,SA-37/LED_LEVEL,5
2024-10-19 14:44:36,SA-37/LED_LEVEL,4
2024-10-19 14:44:38,SA-37/LED_LEVEL,5
2024-10-19 14:44:38,SA-37/LED_LEVEL,4
2024-10-19 14:44:38,SA-37/LED_LEVEL,4
2024-10-19 14:44:39,SA-37/LED_LEVEL,5
2024-10-19 14:44:39,SA-37/LED_LEVEL,5
2024-10-19 14:44:44,SA-37/LED_LEVEL,4
2024-10-19 14:44:44,SA-37/LED_LEVEL,4
2024-10-19 14:44:45,SA-37/LED_LEVEL,5
2024-10-19 14:44:45,SA-37/LED_LEVEL,5
2024-10-19 14:44:45,SA-37/LED_LEVEL,4
2024-10-19 14:44:46,SA-37/LED_LEVEL,5
2024-10-19 14:44:56,SA-37/TEMPERATURE,29.39
2024-10-19 14:44:58,SA-37/TEMPERATURE,28.92
2024-10-19 14:45:21,SA-37/LED_LEVEL,4
2024-10-19 14:45:29,SA-37/LED_LEVEL,5
2024-10-19 14:45:29,SA-37/LED_LEVEL,5
2024-10-19 14:45:29,SA-37/LED_LEVEL,4
2024-10-19 14:45:31,SA-37/LED_LEVEL,5
2024-10-19 14:45:31,SA-37/LED_LEVEL,5
2024-10-19 14:45:31,SA-37/LED_LEVEL,4
2024-10-19 14:45:31,SA-37/LED_LEVEL,4
2024-10-19 14:45:50,SA-37/TEMPERATURE,29.85
2024-10-19 14:45:52,SA-37/TEMPERATURE,28.92
2024-10-19 14:47:23,SA-37/LED_LEVEL,5
2024-10-19 14:47:44,SA-37/TEMPERATURE,29.39
2024-10-19 14:47:48,SA-37/TEMPERATURE,28.92
2024-10-19 14:48:46,SA-37/TEMPERATURE,29.39
2024-10-19 14:48:48,SA-37/TEMPERATURE,28.92
2024-10-19 14:48:52,SA-37/TEMPERATURE,29.39
2024-10-19 14:48:54,SA-37/TEMPERATURE,28.92
2024-10-19 14:49:40,SA-37/TEMPERATURE,29.39
2024-10-19 14:49:42,SA-37/TEMPERATURE,28.92
2024-10-19 14:50:52,SA-37/TEMPERATURE,29.39
2024-10-19 14:50:54,SA-37/TEMPERATURE,28.92
2024-10-19 14:51:22,SA-37/TEMPERATURE,29.39
2024-10-19 14:51:24,SA-37/TEMPERATURE,28.92
2024-10-19 14:51:28,SA-37/TEMPERATURE,29.39
2024-10-19 14:51:30,SA-37/TEMPERATURE,28.92
2024-10-19 14:51:32,SA-37/TEMPERATURE,29.39
2024-10-19 14:51:34,SA-37/TEMPERATURE,28.92
2024-10-19 14:52:14,SA-37/TEMPERATURE,29.39
2024-10-19 14:52:16,SA-37/TEMPERATURE,28.92
2024-10-19 14:53:46,SA-37/TEMPERATURE,28.45
2024-10-19 14:53:48,SA-37/TEMPERATURE,28.92
2024-10-19 14:54:12,SA-37/TEMPERATURE,29.39
2024-10-19 14:54:14,SA-37/TEMPERATURE,28.45
2024-10-19 14:54:16,SA-37/TEMPERATURE,28.92
2024-10-19 14:54:18,SA-37/TEMPERATURE,29.39
2024-10-19 14:54:20,SA-37/TEMPERATURE,28.92
2024-10-19 14:56:08,SA-37/TEMPERATURE,28.45
2024-10-19 14:56:10,SA-37/TEMPERATURE,28.92
2024-10-19 14:56:22,SA-37/TEMPERATURE,28.45
2024-10-19 14:56:24,SA-37/TEMPERATURE,28.92
2024-10-19 14:56:42,SA-37/TEMPERATURE,29.39
2024-10-19 14:56:44,SA-37/TEMPERATURE,28.92
2024-10-19 14:56:52,SA-37/TEMPERATURE,28.45
2024-10-19 14:56:54,SA-37/TEMPERATURE,28.92
2024-10-19 14:57:14,SA-37/TEMPERATURE,29.39
2024-10-19 14:57:16,SA-37/TEMPERATURE,28.92
2024-10-19 14:57:39,SA-37/LED_LEVEL,5
2024-10-19 14:57:40,SA-37/TEMPERATURE,28.92
2024-10-19 14:57:40,SA-37/LINE_LEVEL,8962
2024-10-19 14:57:42,SA-37/LINE_LEVEL,8850
2024-10-19 14:57:46,SA-37/LINE_LEVEL,8754
2024-10-19 14:57:48,SA-37/LINE_LEVEL,8834
2024-10-19 14:57:50,SA-37/LINE_LEVEL,8882
2024-10-19 14:57:52,SA-37/LINE_LEVEL,8754
2024-10-19 14:57:54,SA-37/LINE_LEVEL,8786
2024-10-19 14:57:56,SA-37/LINE_LEVEL,8802
2024-10-19 14:57:58,SA-37/LINE_LEVEL,8722
2024-10-19 14:58:00,SA-37/LINE_LEVEL,8978
2024-10-19 14:58:02,SA-37/LINE_LEVEL,8802
2024-10-19 14:58:06,SA-37/LINE_LEVEL,8786
2024-10-19 14:58:08,SA-37/LED_LEVEL,4
85
2024-10-19 14:58:08,SA-37/LED_LEVEL,4
2024-10-19 14:58:08,SA-37/LED_LEVEL,4
2024-10-19 14:58:10,SA-37/LINE_LEVEL,2944
2024-10-19 14:58:12,SA-37/LINE_LEVEL,3360
2024-10-19 14:58:14,SA-37/LINE_LEVEL,4385
2024-10-19 14:58:16,SA-37/LINE_LEVEL,6049
2024-10-19 14:58:18,SA-37/LINE_LEVEL,6225
2024-10-19 14:58:20,SA-37/LINE_LEVEL,6113
2024-10-19 14:58:22,SA-37/LINE_LEVEL,2656
2024-10-19 14:58:24,SA-37/LINE_LEVEL,0
2024-10-19 14:58:26,SA-37/LINE_LEVEL,3232
2024-10-19 14:58:28,SA-37/TEMPERATURE,29.39
2024-10-19 14:58:28,SA-37/TEMPERATURE,29.39
2024-10-19 14:58:28,SA-37/LINE_LEVEL,5569
2024-10-19 14:58:30,SA-37/TEMPERATURE,28.92
2024-10-19 14:58:30,SA-37/LINE_LEVEL,5425
2024-10-19 14:58:32,SA-37/LINE_LEVEL,5281
2024-10-19 14:58:34,SA-37/LINE_LEVEL,6721
2024-10-19 14:58:36,SA-37/LINE_LEVEL,3280
2024-10-19 14:58:38,SA-37/LINE_LEVEL,1040
2024-10-19 14:58:40,SA-37/LINE_LEVEL,4609
2024-10-19 14:58:42,SA-37/LINE_LEVEL,6561
2024-10-19 14:58:42,SA-37/LED_LEVEL,5
2024-10-19 14:58:43,SA-37/LED_LEVEL,4
2024-10-19 14:58:44,SA-37/LINE_LEVEL,6577
2024-10-19 14:58:46,SA-37/LINE_LEVEL,5393
2024-10-19 14:58:48,SA-37/LINE_LEVEL,5633
2024-10-19 14:58:50,SA-37/LINE_LEVEL,5393
2024-10-19 14:58:52,SA-37/LINE_LEVEL,5377
2024-10-19 14:58:54,SA-37/LINE_LEVEL,5521
2024-10-19 14:58:56,SA-37/LINE_LEVEL,5505
2024-10-19 14:58:58,SA-37/LINE_LEVEL,5665
2024-10-19 14:59:00,SA-37/LINE_LEVEL,5313
2024-10-19 14:59:02,SA-37/LINE_LEVEL,5921
2024-10-19 14:59:04,SA-37/LINE_LEVEL,5937
2024-10-19 14:59:06,SA-37/LINE_LEVEL,6017
2024-10-19 14:59:08,SA-37/LINE_LEVEL,5889
2024-10-19 14:59:10,SA-37/LINE_LEVEL,6033
2024-10-19 14:59:12,SA-37/LINE_LEVEL,5921
2024-10-19 14:59:14,SA-37/LINE_LEVEL,5937
2024-10-19 14:59:16,SA-37/LED_LEVEL,5
010
2024-10-19 14:59:16,SA-37/LED_LEVEL,5
2024-10-19 14:59:16,SA-37/LED_LEVEL,5
2024-10-19 14:59:18,SA-37/LINE_LEVEL,12387
2024-10-19 14:59:20,SA-37/LINE_LEVEL,12291
2024-10-19 14:59:22,SA-37/LINE_LEVEL,12755
