時間,設備,值
2024-10-12 14:06:27,SA-01/LED_LEVEL,7
2024-10-12 14:23:19,SA-01/LED_LEVEL,7
2024-10-12 14:23:19,SA-37/LED_LEVEL,7
2024-10-12 14:23:19,SA-37/LED_LEVEL,7
2024-10-12 16:11:23,SA-37/LED_LEVEL,4
2024-10-12 16:11:25,SA-37/LED_LEVEL,3
2024-10-12 16:11:28,SA-37/LED_LEVEL,1
2024-10-12 16:11:29,SA-37/LED_LEVEL,2
2024-10-12 16:11:30,SA-37/LED_LEVEL,4
2024-10-12 16:11:30,SA-37/LED_LEVEL,1
2024-10-12 16:11:32,SA-37/LED_LEVEL,2
2024-10-12 16:11:33,SA-37/LED_LEVEL,3
2024-10-12 16:11:33,SA-37/LED_LEVEL,4
2024-10-12 16:11:35,SA-37/LED_LEVEL,5
