時間,設備,值
2024-10-19 10:33:30,SA-37/LED_LEVEL,8
2024-10-19 10:33:30,SA-37/LED_LEVEL,9
2024-10-19 10:33:31,SA-37/LED_LEVEL,10
2024-10-19 10:33:34,SA-37/LED_LEVEL,9
2024-10-19 10:33:35,SA-37/LED_LEVEL,8
2024-10-19 10:35:55,SA-37/LED_LEVEL,8
2024-10-19 10:35:58,SA-37/LED_LEVEL,0
2024-10-19 10:35:58,SA-37/LED_LEVEL,0
2024-10-19 10:36:00,SA-37/LED_LEVEL,5
2024-10-19 10:36:00,SA-37/LED_LEVEL,7
2024-10-19 10:36:00,SA-37/LED_LEVEL,7
2024-10-19 10:36:01,SA-37/LED_LEVEL,8
2024-10-19 10:36:01,SA-37/LED_LEVEL,8
2024-10-19 10:36:02,SA-37/LED_LEVEL,10
2024-10-19 10:36:02,SA-37/LED_LEVEL,10
2024-10-19 10:36:04,SA-37/LED_LEVEL,9
2024-10-19 10:36:04,SA-37/LED_LEVEL,9
2024-10-19 10:36:04,SA-37/LED_LEVEL,10
2024-10-19 10:36:04,SA-37/LED_LEVEL,10
2024-10-19 10:36:05,SA-37/LED_LEVEL,0
2024-10-19 10:36:06,SA-37/LED_LEVEL,2
2024-10-19 10:36:06,SA-37/LED_LEVEL,2
2024-10-19 10:36:09,SA-37/LED_LEVEL,1
2024-10-19 10:36:11,SA-37/LED_LEVEL,10
2024-10-19 10:36:11,SA-37/LED_LEVEL,10
2024-10-19 10:36:14,SA-37/LED_LEVEL,6
2024-10-19 10:36:17,SA-37/LED_LEVEL,7
2024-10-19 10:36:19,SA-37/LED_LEVEL,6
2024-10-19 10:36:19,SA-37/LED_LEVEL,6
2024-10-19 10:36:23,SA-37/LED_LEVEL,5
2024-10-19 10:36:25,SA-37/LED_LEVEL,6
2024-10-19 10:36:26,SA-37/LED_LEVEL,5
2024-10-19 10:36:26,SA-37/LED_LEVEL,5
2024-10-19 10:36:27,SA-37/LED_LEVEL,6
2024-10-19 10:36:27,SA-37/LED_LEVEL,6
2024-10-19 10:36:28,SA-37/LED_LEVEL,8
2024-10-19 10:36:28,SA-37/LED_LEVEL,8
2024-10-19 10:36:29,SA-37/LED_LEVEL,5
2024-10-19 10:36:29,SA-37/LED_LEVEL,5
2024-10-19 10:36:29,SA-37/LED_LEVEL,3
2024-10-19 10:36:29,SA-37/LED_LEVEL,3
2024-10-19 10:36:30,SA-37/LED_LEVEL,5
2024-10-19 10:36:30,SA-37/LED_LEVEL,5
2024-10-19 10:36:31,SA-37/LED_LEVEL,6
2024-10-19 10:36:31,SA-37/LED_LEVEL,6
2024-10-19 10:36:31,SA-37/LED_LEVEL,7
2024-10-19 10:36:31,SA-37/LED_LEVEL,7
2024-10-19 10:36:51,SA-37/LED_LEVEL,6
2024-10-19 10:36:51,SA-37/LED_LEVEL,6
2024-10-19 10:36:55,SA-37/LED_LEVEL,7
2024-10-19 10:36:55,SA-37/LED_LEVEL,7
2024-10-19 10:36:56,SA-37/LED_LEVEL,6
2024-10-19 11:04:58,SA-37/LED_LEVEL,7
2024-10-19 11:04:58,SA-37/LED_LEVEL,6
2024-10-19 11:04:58,SA-37/LED_LEVEL,6
2024-10-19 11:14:24,SA-37/LED_LEVEL,4
2024-10-19 11:14:24,SA-37/LED_LEVEL,3
2024-10-19 11:14:24,SA-37/LED_LEVEL,3
2024-10-19 11:14:25,SA-37/LED_LEVEL,10
2024-10-19 11:59:44,SA-37/LED_LEVEL,10
2024-10-19 12:00:25,SA-37/LED_LEVEL,8
2024-10-19 12:00:26,SA-37/LED_LEVEL,6
2024-10-19 12:00:26,SA-37/LED_LEVEL,4
2024-10-19 12:00:27,SA-37/LED_LEVEL,3
2024-10-19 12:00:27,SA-37/LED_LEVEL,2
2024-10-19 12:00:28,SA-37/LED_LEVEL,10
2024-10-19 12:17:28,SA-37/LED_LEVEL,9
2024-10-19 12:17:28,SA-37/LED_LEVEL,10
