時間,設備,值
2024-10-19 09:52:26,SA-37/LED_LEVEL,6
2024-10-19 09:57:39,SA-37/LED_LEVEL,6
2024-10-19 09:57:44,SA-37/LED_LEVEL,4
2024-10-19 09:57:45,SA-37/LED_LEVEL,3
2024-10-19 09:57:46,SA-37/LED_LEVEL,2
2024-10-19 09:58:31,SA-37/LED_LEVEL,1
2024-10-19 09:58:32,SA-37/LED_LEVEL,2
2024-10-19 09:58:32,SA-37/LED_LEVEL,3
2024-10-19 09:58:35,SA-37/LED_LEVEL,4
2024-10-19 09:58:35,SA-37/LED_LEVEL,3
2024-10-19 09:58:38,SA-37/LED_LEVEL,4
2024-10-19 09:58:39,SA-37/LED_LEVEL,5
2024-10-19 09:58:39,SA-37/LED_LEVEL,4
2024-10-19 09:58:40,SA-37/LED_LEVEL,6
2024-10-19 09:58:40,SA-37/LED_LEVEL,5
2024-10-19 09:58:41,SA-37/LED_LEVEL,4
2024-10-19 09:58:41,SA-37/LED_LEVEL,5
2024-10-19 09:58:42,SA-37/LED_LEVEL,4
2024-10-19 09:58:43,SA-37/LED_LEVEL,5
2024-10-19 09:58:45,SA-37/LED_LEVEL,4
2024-10-19 09:58:47,SA-37/LED_LEVEL,5
2024-10-19 09:58:51,SA-37/LED_LEVEL,4
2024-10-19 09:59:11,SA-37/LED_LEVEL,5
2024-10-19 09:59:15,SA-37/LED_LEVEL,4
2024-10-19 09:59:15,SA-37/LED_LEVEL,5
2024-10-19 09:59:16,SA-37/LED_LEVEL,4
2024-10-19 09:59:18,SA-37/LED_LEVEL,5
2024-10-19 09:59:18,SA-37/LED_LEVEL,4
2024-10-19 09:59:24,SA-37/LED_LEVEL,5
2024-10-19 09:59:24,SA-37/LED_LEVEL,4
2024-10-19 09:59:25,SA-37/LED_LEVEL,5
2024-10-19 09:59:26,SA-37/LED_LEVEL,4
2024-10-19 09:59:27,SA-37/LED_LEVEL,5
2024-10-19 09:59:30,SA-37/LED_LEVEL,4
2024-10-19 09:59:30,SA-37/LED_LEVEL,5
2024-10-19 09:59:31,SA-37/LED_LEVEL,4
2024-10-19 09:59:34,SA-37/LED_LEVEL,5
2024-10-19 10:00:20,SA-37/LED_LEVEL,4
2024-10-19 10:00:24,SA-37/LED_LEVEL,5
2024-10-19 10:00:24,SA-37/LED_LEVEL,4
2024-10-19 10:02:24,SA-37/LED_LEVEL,5
2024-10-19 10:02:25,SA-37/LED_LEVEL,4
2024-10-19 10:02:27,SA-37/LED_LEVEL,5
2024-10-19 10:02:27,SA-37/LED_LEVEL,4
2024-10-19 10:02:28,SA-37/LED_LEVEL,5
2024-10-19 10:02:29,SA-37/LED_LEVEL,4
2024-10-19 10:02:30,SA-37/LED_LEVEL,5
2024-10-19 10:02:30,SA-37/LED_LEVEL,4
2024-10-19 10:02:31,SA-37/LED_LEVEL,5
2024-10-19 10:04:37,SA-37/LED_LEVEL,4
2024-10-19 10:33:26,SA-37/LED_LEVEL,6
